data,quilometragem,abastecimento dias,preço do litro,custo do abastecimento,litros inseridos,distância percorrida,tempo rodado,velocidade média,consumo,consumo,custo / km,Tipo gas,Posto,
13/05/2025,212034,16,"R$ 6,39","R$ 308,51",48,411,22:14:00,20,"8,51",00:27,"R$ 0,70",,,
26/05/2025,212448,13,"R$ 6,39","R$ 286,46",45,414,21:07:00,21,"9,23",00:28,"R$ 0,69",Ipiranga Ipmax - Cangaíba,,
01/06/2025,212839,6,"R$ 5,99","R$ 242,05",40,391,18:36:00,22,"9,68",00:27,"R$ 0,66",Ipiranga Ipmax - Cangaíba,,
14/06/2025,213230,13,"R$ 6,29","R$ 272,60",43,391,20:08:00,22,"9,02",00:27,"R$ 0,66",Ipiranga Caminho do Mar - comum,,
29/06/2025,213705,15,"R$ 6,19","R$ 288,50",47,475,21:34:00,24,"10,19",00:27,"R$ 0,62",Ipiranga - Caminho do Mar - aditivada,,
13/07/2025,214.099,14,"R$ 5,99","R$ 251,16",42,394,20:23:00,22,"9,40",00:29,"R$ 0,66",Ipiranga - Caminho do Mar - comum,,
24/07/2025,214.469,11,"R$ 6,67","R$ 200,00",30,370,17:20:00,23,"12,33",00:34,"R$ 0,49",,,
07/08/2025,214839,14,"R$ 6,67","R$ 200,00",30,370,17:20:00,23,"12,33",00:34,"R$ 0,54",,,
16/08/2025,215166,9,"R$ 6,00","R$ 229,95",38,327,16:23:00,22,"8,53",00:25,"R$ 0,78",,,
01/09/2025,215556,16,"R$ 6,19","R$ 260,23",42,390,19:00:00,23,"9,29",00:27,"R$ 0,65",,,
16/09/2025,215867,15,"R$ 5,99","R$ 233,72",39,311,17:56:00,21,"7,97",00:27,"R$ 0,78",,,
28/09/2025,216.244,12,"R$ 6,00","R$ 274,76",46,377,20:15:00,21,"8,23",00:26,"R$ 0,73",,,
12/10/2025,216633,14,"R$ 6,00","R$ 243,37",41,389,15:03:00,22,"9,59",00:22,"R$ 0,63",,,
25/10/2025,217036,13,"R$ 5,99","R$ 251,81",42,403,21:00:00,,"9,59",00:29,"R$ 0,63",,,
08/11/2025,217301,14,"R$ 5,99","R$ 184,64",31,265,15:00:00,,"8,60",00:29,"R$ 0,70",,,
28/11/2025,217717,20,"R$ 6,29","R$ 300,35",48,416,21:09:00,21,"8,71",00:26,"R$ 0,69",,,
10/12/2025,218140,12,"R$ 6,39","R$ 311,38",49,423,21:12:00,21,"8,68",00:26,"R$ 0,72",,,
